reviewId,Username,userImage,Review,Rating,Usefulness,reviewCreatedVersion,Date,Reply,Reply Date,
b13a5ac4-f52a-40d3-a3c8-f7b7c23be010,Erin Christiana,https://play-lh.googleusercontent.com/a-/ALV-UjV3lNCmEzEdJTg5kf4SefVM1-Srlt4N210Gkl7yan4mXxFHasHL,very gooooid,5,0,,2025-04-14 16:02:12,,,
23feb6b4-e426-469e-9652-4ce2bf3db080,Bashar Bhuiyan,https://play-lh.googleusercontent.com/a/ACg8ocKXx_h9rXnYj_g7AOHg_S8hYsDTNKKwy37aLZQ6dpA92Fv5lg=mo,receipt is not being created after pressing the receipt icon at the top right corner.,1,0,6.4.2,2025-04-13 23:46:36,Can you please share a screenshot on support email?,2025-04-15 9:54:43,6.4.2
e0aaa1e0-5bad-4b69-aec6-0c84421b17d7,Katrina Casandra Garcia,https://play-lh.googleusercontent.com/a-/ALV-UjWrmHte_zYm_S29_NrqUpsfXAnfPfRzgQiWEl5CKLA6UHomhPNu,Happy,5,0,6.4.2,2025-04-12 4:50:52,,,6.4.2
e5db7e9e-fec4-4b98-897e-cc480830a152,renee blakemore,https://play-lh.googleusercontent.com/a-/ALV-UjVXNM9-h9VqFfr-LbsHZxuWvdV5BkJNluPYnSueJwEo2mBjRuE,fine,5,0,6.4.2,2025-04-11 21:04:27,,,6.4.2
effc9a38-fad4-4ddb-961c-ffef78e303fc,Novita Andriani,https://play-lh.googleusercontent.com/a/ACg8ocKX1L8E4TrZm4dZ765g4IURphZGXqKPi_XPfPVHS4jDz8u6sQ=mo,good,5,0,6.4.2,2025-04-11 9:34:21,,,6.4.2
e4ad0751-5782-49cb-b45c-bbfa4e6d7832,Forhad Hasan,https://play-lh.googleusercontent.com/a-/ALV-UjVWTlZS9Nt2y3vd3xRoCAQP4DzLw6MESMVLKcys2GjwOBPz0DmHqQ,Best service,5,0,6.4.2,2025-04-10 11:22:20,,,6.4.2
dfa4514e-4b8e-4ad6-8f00-7c34bf802a21,Mfix Accounts mfix,https://play-lh.googleusercontent.com/a/ACg8ocJxv1XXRIzEI3adP9uKQfSOYGDOw9cSsgZpVVxNT44wUEFVkw=mo,so nice and simple. Thank you,5,0,6.4.2,2025-04-08 5:32:25,,,6.4.2
8543ff99-2457-4159-9f16-e240e19d5eec,Deddy Ferdiansyah,https://play-lh.googleusercontent.com/a-/ALV-UjXln8mGQHOosZJblSKvvIZm-dgIETE3YgyuWdZJSm6-h5L7-HE,i buy te subscription but why stil an adds appear in this app,3,0,6.4.2,2025-04-07 6:31:54,,,6.4.2
45da02ff-ff0c-47fb-953b-009acca95bad,Rizwan Khalil,https://play-lh.googleusercontent.com/a-/ALV-UjUGYvBkshYSLXkyLrfemn0TA3i9XMa0ls7suB1kbYZ66-eVK3wK,good app,5,0,6.4.2,2025-04-03 15:01:02,,,6.4.2
3a11173e-30c2-43b7-8177-946d4444d4f6,Jacky-lyn Polis,https://play-lh.googleusercontent.com/a-/ALV-UjUb2Jrg7EGfOmY_RAor2i8x94anaDG9-sSiVaYEsbXRQ3iGWFU,maDaling I connect at gamitin,5,0,6.4.2,2025-03-31 12:09:35,,,6.4.2
